node1,node2,dist
Kronshtadt,Sestroretsk,0.002092520966266293
Katav-Ivanovsk,Ust’-Katav,0.002094961391922349
Dinskaya,Pashkovskiy,0.002102258947428194
Gorelovo,Shushary,0.0021026753396966545
Degtyarsk,Revda,0.0021077859677281967
Gorodets,Novaya Balakhna,0.002113803103745822
Elektrogorsk,Orekhovo-Zuyevo,0.0021252074619905626
Abinsk,Krymsk,0.002125910849096576
Irkutsk,Shelekhov,0.002133283174520016
Belovo,Polysayevo,0.002136392663048269
Kislovodsk,Yessentuki,0.002137145425062996
Novogireyevo,Semënovskoye,0.0021590494286153933
Gatchina,Krasnoye Selo,0.0021655550330849775
Bataysk,Levoberezhnyy,0.0021661383046508733
Vorgashor,Vorkuta,0.002171017390138272
Istra,Zvenigorod,0.0022032539909409587
Chelyabinsk,Kopeysk,0.0022076916439187294
Astrakhan,Kamyzyak,0.0022078131117113198
Rodniki,Vichuga,0.002213555510250927
Berdsk,Krasnoobsk,0.002231769689556446
Belgorod,Stroitel’,0.002257158413348463
Pushchino,Serpukhov,0.0022594394945925265
Cheboksary,Novocheboksarsk,0.002261541601798419
Belaya Glina,Novopokrovskaya,0.0022656014177046746
Furmanov,Privolzhsk,0.002285267191196377
Aprelevka,Vnukovo,0.0022888589169946984
Orekhovo-Zuyevo,Pokrov,0.002299780790984429
Sergiyev Posad,Sviblovo,0.0023024164067415305
Novosibirsk,Ob’,0.0023061516961513148
Ishimbay,Sterlitamak,0.002307884161622887
Novaya Usman’,Voronezh,0.002309324469552701
Asbest,Reftinskiy,0.0023104950065983795
Kirovgrad,Novoural’sk,0.002313760230061244
Sertolovo,Sestroretsk,0.002315827957591252
Kasli,Snezhinsk,0.002317692649124766
Aramil,Sysert’,0.002347641006779119
Dubna,Kimry,0.0023550987750363397
Giaginskaya,Maykop,0.002356789067182915
Markova,Starominskaya,0.002376853530177761
Bogoroditsk,Uzlovaya,0.002386989420575821
Berdsk,Iskitim,0.0024168126294348185
Kstovo,Sovetskiy,0.002421278278185657
Kantyshevo,Staryy Malgobek,0.0024264544530140666
Kireyevsk,Uzlovaya,0.0024316665714498235
Bryansk,Fokino,0.0024390141648350018
Karabanovo,Kirzhach,0.0024511387837778285
Chusovoy,Lys’va,0.0024835431333867564
Bronnitsy,Zhukovskiy,0.0024909575317153053
Razumnoye,Shebekino,0.0024973860655544077
Labytnangi,Salekhard,0.0024980823211016518
Groznyy,Urus-Martan,0.0025067658496101364
Bakal,Satka,0.0025068579164721013
Apsheronsk,Khadyzhensk,0.0025141716478451442
Dankov,Lebedyan’,0.0025178838755474642
Nartkala,Prokhladnyy,0.002518232162668269
Gay,Orsk,0.0025276469707899768
Abakan,Minusinsk,0.0025320345665410865
Belorechensk,Giaginskaya,0.00253771724135469
Petrovskaya,Slavyansk-na-Kubani,0.002541177258782134
Kuvandyk,Mednogorsk,0.0025431521004890024
Kirov,Rublëvo,0.00254548320820397
Kislovodsk,Uchkeken,0.002546884931368341
Sayansk,Zima,0.002551775376631432
Georgiyevsk,Novopavlovsk,0.0025527405151264146
Krasnyy Sulin,Shakhty,0.0025596535766660954
Kirovo-Chepetsk,Slobodskoy,0.002569125123165688
Bryukhovetskaya,Kanevskaya,0.002573813931663017
Ramenki,Ryazan’,0.002584304575865357
Dmitrov,Novogireyevo,0.002598640256312891
Kislovodsk,Suvorovskaya,0.0026114929880618363
Baksan,Novopavlovsk,0.002615790486727853
Vasyl'evsky Ostrov,Vsevolozhsk,0.0026198038054508804
Balabanovo,Naro-Fominsk,0.002630072639529765
Kumertau,Meleuz,0.002640638688869714
Borisoglebsk,Povorino,0.002643716777953073
Navashino,Vyksa,0.0026460312507078114
Adler,Sochi,0.002647749645902753
Murmansk,Severomorsk,0.002656892779859713
Setun’,Tuchkovo,0.002658365899362489
Kurgan,Tsaritsyno,0.0026820188469563913
Petropavlovsk-Kamchatsky,Vilyuchinsk,0.002701689194450892
Otradnoye,Vasyl'evsky Ostrov,0.002706297889572175
Kolomna,Voskresensk,0.0027099159354454843
Karachayevsk,Ust’-Dzheguta,0.002713231411817473
Izluchinsk,Nizhnevartovsk,0.0027309705105084433
Kurganinsk,Labinsk,0.002731107557861357
Korenovsk,Vyselki,0.0027433363642772033
Chebarkul’,Miass,0.0027437030553739672
Novokuznetsk,Osinniki,0.002746560720275025
Mezhdurechensk,Myski,0.0027503189074486512
Abinsk,Gelendzhik,0.0027856020362862503
Dubovka,Volzhskiy,0.002798525150646921
Petushki,Pokrov,0.0028070223160027307
Prokhladnyy,Terek,0.0028097865669898074
Yalutorovsk,Zavodoukovsk,0.0028098658061803164
Chekhov,Serpukhov,0.00281091024883144
Volgograd,Volzhskiy,0.0028154688478884853
Nagornyy,Novokuybyshevsk,0.002815560705081032
Krasnoural’sk,Kushva,0.0028164632076201463
Nizhnekamsk,Yelabuga,0.002822268274109805
Ruzayevka,Saransk,0.0028230653287689518
Lukhovitsy,Zaraysk,0.00285930269694819
Aramil,Yekaterinburg,0.0028658280548086515
Gubakha,Kizel,0.002866837527226237
Azov,Levoberezhnyy,0.002869821809592888
Lyublino,Nevel’sk,0.002906597753927795
Bezenchuk,Chapayevsk,0.0029108252568580692
Donskoye,Mikhaylovsk,0.0029314427434915954
Kokhma,Shuya,0.002955213858961492
Groznyy,Shali,0.002956055335725061
Sertolovo,Sosnovaya Polyana,0.0029590261221358514
Boksitogorsk,Pikalëvo,0.002965529229146829
Belebey,Priyutovo,0.0029728586097162767
Tayga,Yashkino,0.002985535766740932
Klin,Solnechnogorsk,0.0029900815239586307
Kachkanar,Lesnoy,0.002990857611875699
Starodub,Unecha,0.0030283625125102124
Apsheronsk,Belorechensk,0.0030306436771242594
Ardon,Beslan,0.003034860425327783
Mendeleyevsk,Yelabuga,0.003036529832638356
Korsakov,Yuzhno-Sakhalinsk,0.0030610762443666136
Andreyevskoye,Solnechnogorsk,0.0030620596761524376
Vilyuchinsk,Yelizovo,0.0030886727251798287
Shchukino,Tutayev,0.0030917322485270148
Novocherkassk,Shakhty,0.003095125184546915
Otradnoye,Tosno,0.003118013842317352
Chelyabinsk,Korkino,0.003130001356213709
Berezniki,Solikamsk,0.0031344118458955885
Kolomna,Lukhovitsy,0.0031668301550156824
Novomichurinsk,Skopin,0.00317082073725662
Degtyarsk,Polevskoy,0.0031794755686332
Achinsk,Nazarovo,0.003180761271308426
Roshal’,Shatura,0.0031879664894961697
Achkhoy-Martan,Ordzhonikidzevskaya,0.003207693930433841
Buguruslan,Pokhvistnevo,0.0032094106259739656
Ardon,Terek,0.0032179803379061736
Dyat’kovo,Lyudinovo,0.0032358726560462858
Kandalaksha,Polyarnyye Zori,0.0032423861051764646
Krymsk,Novorossiysk,0.003249062579327511
Ust’-Labinsk,Vyselki,0.003281460570385769
Sokol’niki,Vichuga,0.003284995462955519
Achkhoy-Martan,Urus-Martan,0.003285849717934084
Kamensk-Shakhtinskiy,Zverevo,0.003294727518923002
Goryachiy Klyuch,Pashkovskiy,0.003304340476523456
