,name,country,subcountry,geonameid,lat,lng
447,Lomonosov,Russia,St.-Petersburg,534341,59.910740000000004,29.776466
448,Lodeynoye Pole,Russia,Leningrad,534560,60.734978000000005,33.548869
449,Lobnya,Russia,MO,534595,56.012268999999996,37.474821
450,Livny,Russia,Orjol,534701,52.426549,37.608041
451,Liski,Russia,Voronezj,534838,50.987297999999996,39.497099
452,Lipetsk,Russia,Lipetsk,535121,52.608819999999994,39.59922
453,Likino-Dulevo,Russia,MO,535243,55.707786,38.957741999999996
457,Levoberezhnaya,Russia,MO,535451,56.76197,36.372696000000005
458,Komendantsky aerodrom,Russia,St.-Petersburg,535729,60.00158100000001,30.281390999999996
459,Lermontov,Russia,Stavropol'skiy,535886,44.105344,42.973175
