name,country,subcountry,geonameid,lat,lng
Bogdanovich,Russia,Sverdlovsk,1509888,56.776502,62.046295
Biysk,Russia,Altai Krai,1510018,52.539297,85.21382
Beryozovsky,Russia,Sverdlovsk,1510203,55.669361,86.274514
Berëzovskiy,Russia,Kemerovo,1510205,46.275592,40.443726
Berëzovka,Russia,Krasnoyarskiy,1510255,53.719388,25.498257
Berdsk,Russia,Novosibirsk,1510350,54.758288,83.107135
Beloyarskiy,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug,1510450,63.716043,66.667588
Belovo,Russia,Kemerovo,1510469,54.422114,86.303692
Barnaul,Russia,Altai Krai,1510853,53.346785,83.776856
Barabinsk,Russia,Novosibirsk,1510916,55.350412,78.341923
Asino,Russia,Tomsk,1511309,-28.863483,153.045795
Asbest,Russia,Sverdlovsk,1511330,57.005274,61.458114
Artëmovskiy,Russia,Sverdlovsk,1511368,0.0,0.0
Aramil,Russia,Sverdlovsk,1511466,56.694538,60.834315
Anzhero-Sudzhensk,Russia,Kemerovo,1511494,56.083175,86.018216
Aleysk,Russia,Altai Krai,1511783,52.492167,82.779448
Alapayevsk,Russia,Sverdlovsk,1511954,57.853038,61.702672
Akademgorodok,Russia,Novosibirsk,1512086,49.193252,119.729249
Achinsk,Russia,Krasnoyarskiy,1512165,56.269496,90.495231
Abaza,Russia,Khakasiya,1512205,14.098294,6.41575
Abakan,Russia,Khakasiya,1512236,53.721152,91.442387
Snezhinsk,Russia,Chelyabinsk,1536289,56.085209,60.732536
Ozersk,Russia,Chelyabinsk,1538634,55.763184,60.707599
Zheleznogorsk,Russia,Krasnoyarskiy,1538635,52.337971,35.351743
Novoural’sk,Russia,Sverdlovsk,1538636,57.247235,60.095604
Seversk,Russia,Tomsk,1538637,56.603185,84.880913
Gubkinskiy,Russia,Yamalo-Nenetskiy Avtonomnyy Okrug,1539209,64.432625,76.500494
Raduzhny,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug,1540356,62.134265,77.458439
Muravlenko,Russia,Yamalo-Nenetskiy Avtonomnyy Okrug,1540711,63.795285,74.494448
Lyantor,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug,1541359,61.620663,72.155352
Zima,Russia,Irkutsk,2012484,53.92072,102.049065
Zheleznogorsk-Ilimskiy,Russia,Irkutsk,2012557,56.584843,104.114283
Zeya,Russia,Amur,2012593,53.734033,127.265889
Yakutsk,Russia,Sakha,2013159,62.028082,129.732609
Vyazemskiy,Russia,Khabarovsk Krai,2013229,47.535352,134.755297
Vrangel’,Russia,Primorskiy,2013258,56.461397,-132.367988
Vladivostok,Russia,Primorskiy,2013348,43.115536,131.885485
Vikhorevka,Russia,Irkutsk,2013399,56.120718,101.170396
Ust’-Kut,Russia,Irkutsk,2013923,56.792838,105.775699
Ust’-Ilimsk,Russia,Irkutsk,2013952,57.943039,102.741523
Ussuriysk,Russia,Primorskiy,2014006,43.797273,131.95178
Usol’ye-Sibirskoye,Russia,Irkutsk,2014022,52.756648,103.638769
Ulan-Ude,Russia,Respublika Buryatiya,2014407,51.834464,107.584574
Udachny,Russia,Sakha,2014624,66.406966,112.306389
Tynda,Russia,Amur,2014718,55.154656,124.729236
Tulun,Russia,Irkutsk,2014927,54.55712,100.578038
Trudovoye,Russia,Primorskiy,2015051,45.237507,33.759587
Fokino,Russia,Primorskiy,2015310,53.455436,34.415923
Svobodnyy,Russia,Amur,2015833,0.0,0.0
Spassk-Dal’niy,Russia,Primorskiy,2016187,49.193252,119.729249
Slyudyanka,Russia,Irkutsk,2016422,51.656501,103.718845
Shimanovsk,Russia,Amur,2016701,51.999509,127.676123
Shelekhov,Russia,Irkutsk,2016764,52.210209,104.097395
Severobaykal’sk,Russia,Respublika Buryatiya,2016910,49.193252,119.729249
Raychikhinsk,Russia,Amur,2017487,49.794114,129.411255
Petrovsk-Zabaykal’skiy,Russia,Transbaikal Territory,2017945,49.193252,119.729249
Partizansk,Russia,Primorskiy,2018116,43.119813,133.123246
Neryungri,Russia,Sakha,2019309,56.659948,124.720315
Nerchinsk,Russia,Transbaikal Territory,2019326,51.95948,116.585415
Nakhodka,Russia,Primorskiy,2019528,42.824037,132.892811
Mirny,Russia,Sakha,2019951,62.541028,113.978692
Luchegorsk,Russia,Primorskiy,2020689,46.445063,134.296599
Lesozavodsk,Russia,Primorskiy,2020812,45.477955,133.418594
Lensk,Russia,Sakha,2020838,60.713731,114.911844
Kyakhta,Russia,Respublika Buryatiya,2021066,50.355214,106.449903
Krasnokamensk,Russia,Transbaikal Territory,2021618,50.09372,118.033256
Komsomolsk-on-Amur,Russia,Khabarovsk Krai,2021851,50.549923,137.007948
Khabarovsk,Russia,Khabarovsk Krai,2022890,48.480223,135.071917
Kavalerovo,Russia,Primorskiy,2023058,44.267653,135.057283
Irkutsk,Russia,Irkutsk,2023469,52.287054,104.281047
Gusinoozyorsk,Russia,Respublika Buryatiya,2023782,51.285526,106.529323
Dal’nerechensk,Russia,Primorskiy,2025159,49.193252,119.729249
Chita,Russia,Transbaikal Territory,2025339,52.033973,113.499432
Cheremkhovo,Russia,Irkutsk,2025527,53.136911,103.090096
Borzya,Russia,Transbaikal Territory,2026126,50.387629,116.523485
