node1,node2,dist,real_dist
Elektrogorsk,Pavlovskiy Posad,0.0018116634138994907,18790.0
Elektrostal’,Fryazevo,0.0007053813490059317,43361.0
Elektrougli,Zyuzino,0.0010723397471176586,58333.0
Arzgir,Elista,0.008504473526282906,136859.0
Enem,Oktyabr’skiy,0.0007025963005559828,
Engel’s,Saratov,0.0011043821507863,
Ezhva,Syktyvkar,0.0019768238998074525,18722.0
Frolovo,Mikhaylovka,0.005567251322750752,52660.0
Fryazino,Shchelkovo,0.0007410580245754183,10322.0
Furmanov,Privolzhsk,0.002285267191196377,
Gagarin,Shatura,0.00035283583881536116,
Galich,Kineshma,0.01181528595640251,162980.0
Gatchina,Krasnoye Selo,0.0021655550330849775,22352.0
Gavrilov-Yam,Yaroslavl,0.0040393690014072,46888.0
Gay,Orsk,0.0025276469707899768,
Abinsk,Gelendzhik,0.0027856020362862503,95851.0
Georgiyevsk,Nezlobnaya,0.0008618114519439907,8325.0
Giaginskaya,Maykop,0.002356789067182915,34905.0
Golitsyno,Krasnoznamensk,0.000575930233255743,7598.0
Gorelovo,Krasnoye Selo,0.0006940168501691166,5940.0
Gorno-Altaysk,Mayma,0.0008484268848669809,14567.0
Gornyak,Rubtsovsk,0.0060531980759928146,77836.0
Gorodets,Novaya Balakhna,0.002113803103745822,35944.0
Gorodishche,Penza,0.007199593141834248,52961.0
Goryachevodskiy,Pyatigorsk,0.00035745040201625523,7398.0
Goryachiy Klyuch,Pashkovskiy,0.003304340476523456,3320132.0
Groznyy,Urus-Martan,0.0025067658496101364,29950.0
Gryazi,Lipetsk,0.0039790400143177905,31710.0
Gryazovets,Vologda,0.005471790465912377,46953.0
Gubakha,Kizel,0.002866837527226237,28291.0
Chernyanka,Gubkin,0.004713489677968314,59410.0
Gubkinskiy,Tarko-Sale,0.011650574563965795,100163.0
Gudermes,Kurchaloy,0.0012202969480910534,20443.0
Gukovo,Krasnyy Sulin,0.002090360456937424,29041.0
Akademgorodok,Gul’kevichi,0.0,3858032.0
Gus’-Khrustal’nyy,Vladimir,0.006590240499708815,
Balezino,Igra,0.005483733578217245,
Ilanskiy,Kansk,0.003518459677469433,33634.0
Inozemtsevo,Pyatigorsk,0.0005416314924846765,8607.0
Barysh,Inza,0.008246248477897834,
Ipatovo,Svetlograd,0.003507513635728817,55635.0
Irbit,Turinsk,0.007439279683494712,63481.0
Irkutsk,Shelekhov,0.002133283174520016,20534.0
Isakogorka,Novodvinsk,0.0015869248488280892,17076.0
Ishim,Zavodoukovsk,0.028916182753212945,204228.0
Ishimbay,Salavat,0.0016222523468640796,14729.0
Berdsk,Iskitim,0.0024168126294348185,23588.0
Ivanovo,Kokhma,0.0014067316663862266,13632.0
Ivanovskoye,Krasnogorsk,0.0003656437290025797,38548.0
Ivanteyevka,Pushkino,0.0008908335985081627,6006.0
Ivdel’,Krasnotur’insk,0.012372385801079326,143414.0
Izberbash,Kaspiysk,0.004003235188065068,49952.0
Izluchinsk,Nizhnevartovsk,0.0027309705105084433,27769.0
Izmaylovo,Mtsensk,0.004225469940645699,331444.0
Akademgorodok,Izobil’nyy,0.0,3832907.0
Kabanovo,Uglich,0.0016507347942282464,252276.0
Kachkanar,Lesnoy,0.002990857611875699,38822.0
Kalach-na-Donu,Surovikino,0.008036276677843323,57359.0
Kalachinsk,Omsk,0.012161744030979759,91419.0
Kaliningrad,Mikhalkovo,0.009184758456823485,2203548.0
Kalininsk,Zhirnovsk,0.0063696394888879465,82130.0
Kalininskiy,Yablonovskiy,0.005884217505685878,2099966.0
Kaltan,Osinniki,0.0010753365793687343,
Kaluga,Kondrovo,0.004806644265001006,47300.0
Kamensk-Shakhtinskiy,Zverevo,0.003294727518923002,50244.0
Bogdanovich,Kamensk-Ural’skiy,0.004556332595404925,
Kamen’-na-Obi,Suzun,0.009913988717782344,217944.0
Kamyshin,Kotovo,0.007209944509178136,56379.0
Bogdanovich,Kamyshlov,0.006421974493040117,
Kanash,Novocheboksarsk,0.0072229476533311205,84679.0
Kandalaksha,Polyarnyye Zori,0.0032423861051764646,34784.0
Bryukhovetskaya,Kanevskaya,0.002573813931663017,32378.0
Kantyshevo,Nazran’,0.0014777057075151775,13263.0
Karabash,Kyshtym,0.00420256751045787,39110.0
Karabulak,Surkhakhi,0.0009914510138739005,15645.0
Karachayevsk,Ust’-Dzheguta,0.002713231411817473,40813.0
Bryansk,Karachev,0.006616911801623553,46209.0
Karasuk,Slavgorod,0.010336603838835102,106537.0
Karpinsk,Krasnotur’insk,0.0016901029508583352,13670.0
Kartaly,Plast,0.015067983574012681,
Kashin,Kimry,0.006433557433333874,
Kashira,Luzhniki,0.00036721661657101567,
Kasimov,Melenki,0.005314121653901757,49933.0
Kasli,Ozersk,0.0016614985563675735,25152.0
Kaspiysk,Makhachkala,0.00183374039866702,18188.0
Katav-Ivanovsk,Ust’-Katav,0.002094961391922349,30995.0
Kamensk-Ural’skiy,Kataysk,0.006621589921724553,46740.0
Kavalerovo,Luchegorsk,0.021750788604963267,391907.0
Kazan,Zelenodolsk,0.005994833335343157,36335.0
Kedrovka,Kushva,0.003873132659916603,188547.0
Khabarovsk,Khabarovsk Vtoroy,0.007592102533722399,10640.0
Khanty-Mansiysk,Poykovskiy,0.02439697046659669,182910.0
Astrakhan,Kharabali,0.013669765944349849,158475.0
Khasavyurt,Kizilyurt,0.003536467867730972,30070.0
Khimki,Krasnogorsk,0.0011989217213549735,15110.0
Kholmsk,Lyublino,0.0012938574832303251,9198427.0
Khot'kovo,Sofrino,0.0015098776678609245,23387.0
Donskoy,Kimovsk,0.0020111667472177187,
Kinel’,Samara,0.005574022383834901,
Kineshma,Sokol’niki,0.0003858434870097312,393430.0
Kireyevsk,Uzlovaya,0.0024316665714498235,28912.0
Kirov,Rublëvo,0.00254548320820397,964886.0
Kirovgrad,Novoural’sk,0.002313760230061244,23121.0
Kirovo-Chepetsk,Slobodskoy,0.002569125123165688,45869.0
Kirsanov,Uvarovo,0.008805021221794732,111461.0
Karabanovo,Kirzhach,0.0024511387837778285,25527.0
Belovo,Kiselëvsk,0.005850507485865403,5697988.0
Kislovodsk,Yessentuki,0.002137145425062996,24046.0
Khasavyurt,Kizlyar,0.005239663325357599,83883.0
Klimovsk,Syktyvkar,0.02402529678092323,1368572.0
Klin,Solnechnogorsk,0.0029900815239586307,
Kochubeyevskoye,Nevinnomyssk,0.0014597591781349965,19312.0
Chunskiy,Kodinsk,0.03192943710386635,456822.0
Kogalym,Pokachi,0.01157047519183513,134783.0
Kolomna,Voskresensk,0.0027099159354454843,43240.0
Kolpino,Metallostroy,0.0007950611214945566,15038.0
Komendantsky aerodrom,Saint Petersburg,0.0008708881192730676,
Kommunar,Pavlovsk,0.0009071858306516047,8351.0
Dubna,Konakovo,0.0037894474057705344,30080.0
Kondopoga,Petrozavodsk,0.005731659432364422,57242.0
Konstantinovsk,Semikarakorsk,0.003406101755965187,34175.0
Korenovsk,Vyselki,0.0027433363642772033,31982.0
Korkino,Yemanzhelinsk,0.0018039212963228105,23441.0
Ivanteyevka,Korolev,0.0009030693782475409,
Korsakov,Yuzhno-Sakhalinsk,0.0030610762443666136,40053.0
Koryazhma,Kotlas,0.00449383663318852,33075.0
Kostomuksha,Segezha,0.03056983645685148,244495.0
Kostroma,Volgorechensk,0.004613609021683697,44755.0
Akademgorodok,Kotel’nich,0.0,2587038.0
Kotel’nikovo,Nizhniy Lomov,0.0042800320022670394,882190.0
Kotlovka,Nurlat,0.003386861411858821,1917170.0
Kotovo,Zhirnovsk,0.0068902338769613975,84317.0
Kovdor,Polyarnyye Zori,0.013863297149043212,125313.0
Kovrov,Shuya,0.00600185476008392,
Kovylkino,Nizhniy Lomov,0.006297194434457218,67561.0
Kozhukhovo,Udomlya,0.006458166538236975,372796.0
Krasnoarmeysk,Privolzhskiy,0.005649216377750285,762321.0
Krasnoarmeyskaya,Zimovniki,0.008786483781417815,493698.0
Krasnodar,Oktyabr’skiy,0.0006175960293448966,1831075.0
Krasnogvardeyskoye,Valuyki,0.0056177782045812,803666.0
Borzya,Krasnokamensk,0.017100932161998487,184448.0
Krasnokamsk,Nytva,0.00415337803118621,37354.0
Krasnoobsk,Novosibirsk,0.001459852251743792,14139.0
Krasnoufimsk,Kungur,0.01273576234099462,124238.0
Krasnoural’sk,Kushva,0.0028164632076201463,28609.0
Krasnovishersk,Solikamsk,0.010337795953071,96673.0
Krasnyy Sulin,Zverevo,0.0014960725063467364,35286.0
Kronshtadt,Lomonosov,0.001019281861844027,21836.0
Kropotkin,Tbilisskaya,0.0046265432491555715,31076.0
Abinsk,Krymsk,0.002125910849096576,20573.0
Kstovo,Sovetskiy,0.002421278278185657,
Kubinka,Setun’,0.0008855879219665689,61541.0
Kudymkar,Vereshchagino,0.011814351107744477,121817.0
Kukmor,Vyatskiye Polyany,0.001810480364352048,14146.0
Kulebaki,Navashino,0.003477359985064963,32004.0
Kulunda,Yarovoye,0.0055495323468877115,65860.0
Kumertau,Meleuz,0.002640638688869714,26935.0
Kungur,Perm,0.009877819895650885,
Karasuk,Kupino,0.010546585742846006,96811.0
Kurgan,Tsaritsyno,0.0026820188469563913,
Kurganinsk,Labinsk,0.002731107557861357,35319.0
Kurovskoye,Likino-Dulevo,0.0015738701645591016,15482.0
Kursk,Solntsevo,0.006955763463753296,
Kurtamysh,Tsaritsyno,0.009112671171669449,2055514.0
Kuskovo,Tomsk,0.003337577780914709,3609118.0
Kuvandyk,Mednogorsk,0.0025431521004890024,22700.0
Kuybyshev,Samara,0.0,0.0
Gusinoozyorsk,Kyakhta,0.009731766678635843,127214.0
Kyshtym,Ozersk,0.0017831362045653656,12131.0
Kyzyl,Shushenskoye,0.032046282587708176,333644.0
Labinsk,Mostovskoy,0.002062398389416532,30483.0
Labytnangi,Salekhard,0.0024980823211016518,21968.0
Lakinsk,Sobinka,0.0006656955243037968,8828.0
Langepas,Pokachi,0.0074145887355820655,67040.0
Leningradskaya,Starominskaya,0.0045266354361457786,38180.0
Leninsk,Volzhskiy,0.005231668366627192,47455.0
Leninsk-Kuznetsky,Polysayevo,0.0013753280591846562,12788.0
Lensk,Mirny,0.026095646199404767,231378.0
Lermontov,Zheleznovodsk,0.0007534579203378189,
Lesnoy,Nizhnyaya Tura,0.0004911761587061521,6344.0
Lesosibirsk,Yeniseysk,0.004210501473067347,40859.0
Lesozavodsk,Luchegorsk,0.013848433502543464,148307.0
Konakovo,Levoberezhnaya,0.003938350151106505,31632.0
Bataysk,Levoberezhnyy,0.0021661383046508733,1116199.0
Likino-Dulevo,Orekhovo-Zuyevo,0.0011933586104272019,13755.0
Liski,Novovoronezh,0.004598160433648036,2830371.0
Livny,Shchigry,0.009534482586936658,115104.0
Khimki,Lobnya,0.0015435585781067886,24481.0
